worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
s419,1,go,550,90,90,1,763
s419,1,stop,550,-1,90,0,694
s419,1,go,500,77,77,1,841
s419,1,stop,500,-1,-1,1,-1
s419,1,go,550,90,90,1,745
s419,1,go,550,90,90,1,975
s419,1,stop,550,-1,90,0,581
s419,1,stop,500,-1,77,0,699
s419,1,stop,450,-1,-1,1,-1
s419,1,go,500,77,77,1,680
s419,1,go,500,90,90,1,734
s419,1,go,500,77,77,1,757
s419,1,go,500,90,90,1,827
s419,1,go,500,77,77,1,729
s419,1,stop,500,-1,90,0,676
s419,1,go,450,77,77,1,815
s419,1,go,450,90,90,1,891
s010,0,go,500,90,90,1,695
s010,0,go,500,90,90,1,604
s010,0,go,500,77,77,1,613
s010,0,stop,500,-1,77,0,620
s010,0,go,450,90,90,1,604
s010,0,go,450,77,77,1,636
s010,0,stop,450,-1,90,0,643
s010,0,stop,400,-1,-1,1,-1
s010,0,stop,450,-1,77,0,591
s010,0,go,400,90,90,1,471
s010,0,stop,400,-1,77,0,601
s010,0,go,350,90,90,1,640
s010,0,go,350,90,90,1,677
s010,0,go,350,77,77,1,685
s010,0,go,350,77,77,1,692
s010,0,go,350,90,90,1,731
s010,0,go,350,77,90,0,711
s010,0,go,350,77,77,1,685
s010,0,go,350,77,77,1,756
s010,0,stop,350,-1,-1,1,-1
s010,0,go,400,90,90,1,644
s010,0,stop,400,-1,77,0,1164
s010,0,go,350,90,90,1,691
s010,0,go,350,77,77,1,856
s010,0,go,350,77,77,1,1055
s010,0,go,350,90,90,1,1094
s010,0,stop,350,-1,-1,1,-1
s010,0,stop,400,-1,-1,1,-1
s010,0,go,450,90,90,1,646
s010,0,go,450,90,90,1,750
s010,0,stop,450,-1,90,0,564
s010,0,go,400,90,90,1,667
s010,0,stop,400,-1,-1,1,-1
s010,0,go,450,90,90,1,618
s010,0,stop,450,-1,90,0,593
s010,0,go,400,77,77,1,758
s010,0,go,400,90,90,1,859
s010,0,go,400,90,90,1,746
s010,0,stop,400,-1,-1,1,-1
s010,0,stop,450,-1,-1,1,-1
s010,0,stop,500,-1,77,0,545
s010,0,go,450,77,77,1,679
s010,0,go,450,77,77,1,559
s010,0,go,450,77,77,1,694
s010,0,stop,450,-1,-1,1,-1
s010,0,go,500,77,77,1,708
s010,0,go,500,77,77,1,712
s010,0,go,500,77,77,1,751
s010,1,stop,500,-1,90,0,662
s010,1,go,450,90,90,1,575
s010,1,stop,450,-1,-1,1,-1
s010,1,go,500,77,77,1,846
s010,1,go,500,90,90,1,757
s010,1,go,500,77,77,1,732
s010,1,go,500,77,77,1,708
s010,1,go,500,77,77,1,715
s010,1,go,500,90,90,1,660
s010,1,go,500,77,77,1,699
s010,1,go,500,77,77,1,866
