worker_id,current_block,stop_signal_condition,SS_delay,correct_response,key_press,correct_trial,rt
AIQT0DPRTXYYD,0,go,300,77,77,1,684
AIQT0DPRTXYYD,0,go,300,77,77,1,649
AIQT0DPRTXYYD,0,go,300,77,77,1,612
AIQT0DPRTXYYD,0,go,300,77,77,1,661
AIQT0DPRTXYYD,0,go,300,90,90,1,639
AIQT0DPRTXYYD,0,stop,300,-1,-1,1,-1
AIQT0DPRTXYYD,0,go,350,90,90,1,586
AIQT0DPRTXYYD,0,go,350,77,77,1,533
AIQT0DPRTXYYD,0,stop,350,-1,-1,1,-1
AIQT0DPRTXYYD,0,stop,400,-1,-1,1,-1
AIQT0DPRTXYYD,0,stop,450,-1,90,0,678
AIQT0DPRTXYYD,0,go,400,77,77,1,677
AIQT0DPRTXYYD,0,stop,400,-1,90,0,563
AIQT0DPRTXYYD,0,go,350,77,77,1,752
AIQT0DPRTXYYD,0,go,350,90,90,1,698
AIQT0DPRTXYYD,0,go,350,77,77,1,684
AIQT0DPRTXYYD,0,go,350,90,90,1,773
AIQT0DPRTXYYD,0,go,350,90,90,1,627
AIQT0DPRTXYYD,0,go,350,90,90,1,453
AIQT0DPRTXYYD,0,stop,350,-1,-1,1,-1
AIQT0DPRTXYYD,0,go,400,90,90,1,541
AIQT0DPRTXYYD,0,go,400,77,77,1,703
AIQT0DPRTXYYD,0,go,400,77,77,1,664
AIQT0DPRTXYYD,0,stop,400,-1,-1,1,-1
AIQT0DPRTXYYD,0,go,450,90,90,1,687
AIQT0DPRTXYYD,0,go,450,90,77,0,875
AIQT0DPRTXYYD,0,stop,450,-1,90,0,578
AIQT0DPRTXYYD,0,stop,400,-1,77,0,610
AIQT0DPRTXYYD,0,go,350,90,90,1,551
AIQT0DPRTXYYD,0,stop,350,-1,-1,1,-1
AIQT0DPRTXYYD,0,stop,400,-1,-1,1,-1
AIQT0DPRTXYYD,0,go,450,90,90,1,710
AIQT0DPRTXYYD,0,go,450,77,77,1,688
